"first name","last name","company name",email,phone,"phone extension",city
Leanne,Graham,Romaguera-Crona,Sincere@april.biz,17707368031,56442,Gwenborough
Ervin,Howell,Deckow-Crist,Shanna@melissa.tv,0106926593,09125,Wisokyburgh
Clementine,Bauch,Romaguera-Jacobson,Nathan@yesenia.net,14631234447,,McKenziehaven
Patricia,Lebsack,Robel-Corkery,Julianne.OConner@kory.org,4931709623,156,"South Elvis"
Chelsey,Dietrich,"Keebler LLC",Lucio_Hettinger@annie.ca,2549541289,,Roscoeview
"Mrs. Dennis",Schulist,Considine-Lockman,Karley_Dach@jasper.info,14779358478,6430,"South Christy"
Kurtis,Weissnat,"Johns Group",Telly.Hoeger@billy.biz,2100676132,,Howemouth
"Nicholas Runolfsdottir",V,"Abernathy Group",Sherwood@rosamond.me,5864936943,140,Aliyaview
Glenna,Reichert,"Yost and Sons",Chaim_McDermott@dana.io,7759766794,41206,Bartholomebury
Clementina,DuBuque,"Hoeger LLC",Rey.Padberg@karina.biz,0246483804,,Lebsackbury
